sample,alignment rate,concordantly 1 time,concordantly >1 time
1444,93.20%,84.92%,4.25%
1662,93.76%,84.91%,4.49%
1793,85.49%,76.86%,4.16%
1537,92.10%,83.99%,4.09%
1096,94.80%,85.10%,5.48%
2094,94.70%,86.93%,4.35%
1844,91.27%,82.12%,4.63%
1085,85.95%,77.01%,4.58%
2076,93.77%,84.63%,5.18%
2154,90.34%,80.49%,5.95%
2027,93.04%,84.63%,4.70%
1323,85.04%,76.25%,4.69%
1426,94.86%,86.54%,4.04%
1578,94.63%,85.87%,5.09%
1991,93.68%,85.53%,4.29%
1265,92.43%,83.69%,3.93%
2118,94.25%,85.84%,5.17%
1594,94.40%,85.54%,4.45%
2076,93.62%,84.41%,5.23%
1879,92.80%,83.92%,4.86%
1529,94.00%,85.45%,4.64%
1267,86.24%,76.28%,3.64%
1843,92.60%,83.82%,4.71%
1493,93.14%,84.65%,4.56%
1798,92.07%,82.30%,5.26%
1820,91.31%,82.02%,4.65%
2030,93.76%,85.28%,4.76%
1207,94.28%,85.85%,4.99%
2297,91.53%,82.52%,4.65%
1170,94.68%,86.19%,4.68%
1907,94.76%,85.46%,5.85%
1543,92.83%,84.46%,3.92%
2143,92.90%,83.94%,4.92%
1529,94.12%,85.72%,4.59%
2231,86.03%,77.04%,3.97%
2123,94.12%,86.37%,4.18%
1134,88.40%,79.79%,4.00%
1431,91.12%,82.17%,4.35%
1785,89.74%,79.90%,4.87%
1580,94.07%,84.26%,5.86%
1758,89.38%,80.44%,4.12%
1746,90.70%,80.09%,4.87%
1082,89.43%,80.49%,5.02%
1192,86.72%,77.17%,5.01%
1295,92.08%,83.82%,4.77%
1778,86.68%,76.72%,4.79%
1627,93.64%,83.89%,5.10%
2297,91.74%,82.72%,4.71%
1593,87.66%,79.53%,3.78%
1778,86.73%,76.76%,4.77%
2131,89.52%,81.28%,3.81%
2027,93.10%,84.83%,4.58%
1785,89.68%,79.78%,4.88%
1510,86.09%,78.17%,3.28%
1426,94.94%,86.79%,3.99%
1080,93.82%,82.82%,6.48%
1197,91.09%,83.16%,4.07%
1778,86.55%,76.50%,4.85%
1085,86.14%,77.26%,4.57%
1928,90.49%,80.52%,4.98%
1058,94.56%,85.27%,4.96%
2003,91.41%,82.65%,4.29%
1965,93.96%,85.24%,4.63%
1484,95.50%,86.43%,4.72%
1116,94.67%,84.83%,5.61%
2020,92.52%,83.59%,4.88%
1627,93.74%,84.04%,5.16%
2141,92.82%,85.16%,3.93%
1207,94.26%,85.74%,5.07%
2022,91.20%,82.43%,4.75%
1504,74.95%,66.32%,3.07%
1295,92.46%,84.13%,4.92%
1652,93.66%,84.87%,4.28%
1424,93.51%,85.24%,4.72%
2168,95.29%,87.25%,4.81%
1504,75.95%,67.48%,3.22%
1638,86.15%,78.11%,3.64%
1534,94.23%,84.35%,5.66%
1458,94.06%,85.17%,4.34%
1517,94.14%,85.22%,5.11%
1145,89.89%,82.09%,4.25%
2154,90.32%,80.48%,5.94%
1445,93.27%,84.21%,4.55%
1179,88.94%,80.32%,3.56%
1134,88.53%,80.11%,3.90%
1291,92.74%,84.08%,4.46%
1278,92.21%,83.36%,4.03%
1930,92.09%,82.41%,4.96%
2003,91.39%,82.64%,4.26%
1158,86.07%,79.29%,3.68%
1517,94.15%,85.24%,5.10%
1746,91.49%,81.42%,4.82%
1197,91.16%,83.30%,4.06%
2131,89.37%,81.09%,3.81%
1482,89.58%,80.61%,4.40%
1049,89.15%,80.49%,4.30%
2094,94.75%,87.12%,4.23%
2029,92.49%,84.25%,4.39%
1049,88.54%,79.75%,4.33%
1669,85.51%,76.76%,3.94%
1778,86.58%,76.73%,4.66%
1449,80.71%,72.09%,2.41%
1793,85.56%,77.05%,4.05%
2071,92.44%,83.91%,4.63%
2064,90.17%,81.70%,4.22%
1776,89.15%,80.14%,3.86%
1147,83.65%,75.99%,4.16%
1594,94.51%,85.78%,4.41%
2261,87.62%,77.21%,5.16%
1928,90.41%,80.66%,4.73%
2317,91.67%,82.35%,5.28%
1194,96.23%,87.20%,5.75%
1638,87.14%,79.46%,3.63%
1589,88.75%,78.42%,4.89%
1113,83.74%,76.01%,4.59%
2123,94.01%,86.18%,4.21%
1278,92.37%,83.65%,3.99%
1930,92.06%,82.32%,5.04%
1991,93.67%,85.38%,4.38%
1321,94.01%,85.28%,5.36%
1907,94.72%,85.78%,5.50%
1444,92.41%,83.67%,4.20%
1435,93.37%,84.88%,4.18%
1904,89.70%,81.87%,4.25%
1237,90.69%,82.41%,4.73%
1578,94.94%,86.25%,5.13%
1991,93.65%,85.39%,4.37%
1980,90.38%,81.82%,4.30%
2195,95.44%,87.26%,4.68%
1589,88.71%,78.40%,4.78%
1687,77.35%,69.18%,3.44%
1523,92.64%,83.51%,4.19%
1491,93.81%,84.92%,4.80%
1831,91.47%,82.65%,4.32%
1170,94.53%,85.75%,4.79%
1444,93.17%,84.73%,4.29%
1886,93.50%,84.96%,4.80%
1784,88.88%,79.19%,4.52%
1644,94.52%,85.72%,4.68%
1534,94.19%,84.51%,5.45%
2073,91.88%,83.48%,4.39%
1592,83.25%,74.72%,3.62%
1060,90.48%,81.27%,5.63%
2064,90.14%,81.67%,4.17%
2311,93.02%,85.48%,3.79%
1145,88.69%,80.90%,4.21%
1534,94.00%,84.14%,5.56%
1889,93.34%,83.33%,5.52%
1687,77.24%,69.03%,3.47%
1123,86.70%,79.15%,4.26%
1976,92.69%,84.02%,4.87%
1482,89.67%,80.61%,4.34%
1136,88.51%,81.09%,4.14%
1510,87.04%,79.57%,3.25%
1687,77.25%,69.11%,3.48%
1903,93.92%,85.15%,4.84%
1662,94.03%,85.33%,4.52%
1891,94.12%,85.69%,4.55%
1425,89.26%,82.18%,2.74%
1989,94.00%,85.59%,4.72%
1640,95.43%,86.40%,4.95%
1910,94.30%,85.51%,5.03%
1904,89.67%,81.87%,4.24%
1058,94.81%,85.67%,4.98%
1746,91.38%,81.13%,4.92%
1695,89.97%,78.81%,5.19%
2100,87.82%,79.79%,4.17%
2143,93.03%,84.06%,4.96%
1036,82.05%,74.04%,4.11%
1677,94.27%,86.02%,3.99%
1677,93.95%,85.52%,4.02%
1085,86.15%,77.36%,4.49%
2100,87.86%,79.87%,4.15%
1482,89.57%,80.37%,4.48%
1800,91.91%,82.93%,4.41%
2141,92.96%,85.41%,3.90%
1523,93.40%,84.76%,4.18%
1147,82.24%,74.48%,4.25%
1085,85.39%,76.53%,4.46%
1798,92.13%,82.43%,5.20%
1971,92.76%,84.13%,4.59%
1697,90.46%,79.91%,5.05%
1976,92.64%,83.71%,5.12%
1300,93.66%,83.97%,5.59%
1205,90.26%,81.00%,4.68%
2263,91.56%,82.79%,4.48%
2064,90.39%,81.93%,4.21%
1965,93.96%,85.31%,4.55%
1179,90.40%,81.99%,3.67%
1170,94.56%,85.82%,4.80%
1300,93.30%,83.31%,5.59%
1543,92.85%,84.47%,3.93%
1482,88.73%,79.49%,4.22%
2026,93.48%,85.29%,4.50%
1082,88.86%,79.80%,5.03%
1593,87.68%,79.46%,3.87%
1484,95.69%,86.71%,4.78%
1971,92.68%,84.02%,4.56%
1304,94.09%,86.30%,4.37%
2100,88.14%,80.07%,4.27%
1034,95.40%,85.96%,5.13%
1785,89.71%,79.81%,4.90%
1300,93.54%,83.67%,5.58%
1677,94.31%,86.02%,4.03%
