sample,total reads,paired unique mapped reads,alignment rate,concordantly 1 time,concordantly >1 time
1517,12160915,10400550,94.27%,85.52%,5.00%
2030,5149510,4384707,93.65%,85.15%,4.78%
2297,5469544,4524766,91.55%,82.73%,4.51%
1491,5695802,4775651,93.15%,83.85%,4.82%
1819,4269079,3418832,89.41%,80.08%,4.47%
1082,5579292,4471912,89.29%,80.15%,5.17%
2022,4771854,3936891,91.40%,82.50%,4.91%
1424,3133221,2678594,93.56%,85.49%,4.61%
2119,6038696,5148870,93.43%,85.26%,4.60%
1194,18419914,16103238,96.25%,87.42%,5.53%
1798,6056626,4993153,92.10%,82.44%,5.14%
1425,1924252,1553636,88.20%,80.74%,2.67%
2141,5995286,5112518,92.82%,85.28%,3.86%
2076,5129325,4330876,93.60%,84.43%,5.17%
1687,3604546,2436347,75.96%,67.59%,3.36%
2261,8078801,6249887,87.67%,77.36%,5.07%
1831,5277981,4365464,91.40%,82.71%,4.19%
1669,4303679,3355916,86.50%,77.98%,4.03%
1177,5209178,4203050,88.51%,80.69%,4.13%
1445,5152226,4345150,93.28%,84.34%,4.54%
2297,5457664,4512295,91.55%,82.68%,4.53%
1493,5144549,4378444,93.60%,85.11%,4.69%
1776,1764404,1414084,89.06%,80.15%,3.76%
2131,5080151,4122977,89.40%,81.16%,3.78%
1100,2174160,1708408,86.58%,78.58%,4.43%
1697,3805961,3002419,89.82%,78.89%,5.02%
1640,16342832,14058243,95.31%,86.02%,5.06%
1910,6901768,5899186,94.31%,85.47%,5.08%
1110,2580058,2101308,91.24%,81.44%,4.27%
1049,4847973,3901432,89.20%,80.48%,4.38%
2317,5477947,4528030,91.90%,82.66%,5.22%
1578,8458297,7289165,94.97%,86.18%,5.26%
2197,5860082,5053110,93.99%,86.23%,3.74%
1891,4806369,4114868,94.06%,85.61%,4.57%
1177,5215506,4257423,89.61%,81.63%,4.35%
1589,4029117,3103822,87.75%,77.03%,4.80%
1884,4343791,3546652,90.78%,81.65%,4.74%
1592,5569029,4078722,81.94%,73.24%,3.49%
1502,15074569,12939662,94.69%,85.84%,4.93%
1291,7584081,6377132,92.74%,84.09%,4.47%
1512,13759018,11554175,93.60%,83.98%,4.82%
1819,4280409,3425641,89.34%,80.03%,4.46%
1278,11524719,9656299,92.51%,83.79%,4.05%
1123,3834707,3013756,86.10%,78.59%,4.29%
1491,6005811,5096772,93.87%,84.86%,4.89%
1192,6122389,4671449,86.16%,76.30%,5.23%
1034,15721617,13526897,95.50%,86.04%,5.30%
1458,13712083,11710414,94.15%,85.40%,4.33%
1278,11306448,9463946,92.40%,83.70%,4.05%
1177,5249127,4295259,89.69%,81.83%,4.19%
1197,5920251,4901200,90.71%,82.79%,4.03%
1914,6040580,5082879,93.17%,84.15%,5.22%
1578,8273244,7130978,94.96%,86.19%,5.25%
1282,5733498,4528086,88.20%,78.98%,4.78%
1928,6780928,5450111,90.40%,80.37%,4.98%
1798,6145538,5061060,92.14%,82.35%,5.27%
1695,3872086,3052267,90.04%,78.83%,5.24%
1100,2240467,1756253,86.48%,78.39%,4.47%
1879,4793014,4032010,92.82%,84.12%,4.71%
1425,1984653,1626630,89.19%,81.96%,2.81%
1844,4857218,3994122,91.36%,82.23%,4.63%
1145,6006501,4931558,89.84%,82.10%,4.24%
1512,13826399,11638830,93.67%,84.18%,4.78%
1843,5147344,4312418,92.57%,83.78%,4.69%
1123,3894942,3085095,86.76%,79.21%,4.21%
2064,4633355,3782597,90.15%,81.64%,4.24%
2143,5545696,4657807,92.90%,83.99%,4.88%
2164,6383563,5598200,95.31%,87.70%,4.50%
1177,5149446,4189582,89.19%,81.36%,4.26%
1426,15727420,13559161,94.62%,86.21%,3.98%
1884,4377030,3572330,90.76%,81.62%,4.73%
2135,6136282,5159652,92.46%,84.08%,4.21%
2029,4347310,3673626,92.68%,84.50%,4.38%
1282,5757397,4592108,88.85%,79.76%,4.76%
1237,5936276,4919752,91.00%,82.88%,4.66%
1580,16676923,13999837,93.96%,83.95%,5.96%
1237,5874727,4873814,91.04%,82.96%,4.66%
1685,4905711,3587543,83.17%,73.13%,4.07%
1036,4617103,3370580,80.97%,73.00%,4.01%
1833,5583681,2755532,89.96%,49.35%,33.23%
1205,5395316,4345755,89.87%,80.55%,4.65%
2024,4556294,3717873,89.84%,81.60%,4.26%
1096,15884175,13548914,95.09%,85.30%,5.76%
1295,8772266,7388627,92.51%,84.23%,4.94%
2003,8048266,6675072,91.60%,82.94%,4.22%
2118,5948865,5112014,94.27%,85.93%,5.12%
2026,4777155,4063185,93.44%,85.05%,4.67%
1844,4865432,3995495,91.31%,82.12%,4.68%
1060,4489552,3642008,90.28%,81.12%,5.53%
